joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.030283000,0.121802002,0.159705997,0.151760995,-0.157067001,-0.085679002,0.036143001,-0.073776998,-0.282382011,0.121385999,-0.157915995,0.056044001,-0.055801999,1.348999977,1.609912038,1.201347947,1.268774986,-0.199089006,-0.183809996,0.031916998,0.518190980,-1.675979018,-0.505903006,1.388164043,0.006762000,-0.003043000,-0.036545001,0.000000000,0.000000000
0.029871602,0.121852204,0.159399807,0.152527392,-0.157298595,-0.085725799,0.035959799,-0.073955402,-0.282657385,0.121468395,-0.156217799,0.056477800,-0.055824399,1.349011183,1.609803677,1.201351166,1.268776417,-0.199081808,-0.183797002,0.031915400,0.518155992,-1.675659180,-0.505943179,1.388188839,0.006772600,-0.003015600,-0.036526799,0.000000000,0.000000000
0.029328000,0.121977203,0.159129202,0.153658614,-0.157676190,-0.085637800,0.035835601,-0.074012399,-0.282729000,0.121525794,-0.154757395,0.057173997,-0.055866402,1.349012375,1.609658599,1.201363921,1.268774629,-0.199095815,-0.183787003,0.031918600,0.518107951,-1.675252199,-0.506000817,1.388227940,0.006781200,-0.002979400,-0.036497600,0.000000000,0.000000000
0.029126201,0.122032002,0.159103602,0.153949589,-0.157582000,-0.085351795,0.035750400,-0.073878601,-0.282393783,0.121527202,-0.154761598,0.057479199,-0.055905402,1.349004030,1.609557152,1.201380372,1.268766403,-0.199110597,-0.183788002,0.031918000,0.518071651,-1.674961329,-0.506044626,1.388256431,0.006784000,-0.002952400,-0.036476400,0.000000000,0.000000000
0.029791001,0.121944003,0.159329206,0.152380601,-0.156497389,-0.085456997,0.035732400,-0.073830999,-0.282353401,0.121474601,-0.155787796,0.056122396,-0.055974200,1.348986983,1.609418154,1.201409578,1.268740416,-0.199129000,-0.183795005,0.031907000,0.518011391,-1.674540043,-0.506116211,1.388295054,0.006782000,-0.002910400,-0.036444400,0.000000000,0.000000000
0.030249000,0.121968001,0.159550995,0.151330993,-0.155796006,-0.085825004,0.035778999,-0.073757000,-0.282481015,0.121416003,-0.156966999,0.054513000,-0.056005001,1.348989010,1.609366059,1.201416016,1.268723965,-0.199122995,-0.183789000,0.031897001,0.517982006,-1.674360037,-0.506151974,1.388308048,0.006778000,-0.002892000,-0.036433000,0.000000000,0.000000000
0.029840000,0.122060202,0.159612805,0.152144194,-0.156259194,-0.086232200,0.035659801,-0.073678799,-0.282192171,0.121483207,-0.155532390,0.056615803,-0.056048200,1.348991990,1.609310389,1.201422572,1.268693805,-0.199112996,-0.183780804,0.031876199,0.517944217,-1.674139619,-0.506193995,1.388317823,0.006770000,-0.002870000,-0.036422800,0.000000000,0.000000000
0.029354801,0.122178003,0.159529597,0.153050795,-0.156574994,-0.086284205,0.035564199,-0.073574200,-0.282051623,0.121530600,-0.154349595,0.057877999,-0.056094997,1.348991275,1.609266281,1.201431036,1.268653393,-0.199105591,-0.183777198,0.031850800,0.517914772,-1.673935413,-0.506228805,1.388318419,0.006761800,-0.002853400,-0.036419198,0.000000000,0.000000000
0.029077601,0.122177996,0.159317598,0.153432190,-0.156231612,-0.085654795,0.035538800,-0.073567003,-0.282236993,0.121532202,-0.154359192,0.056731604,-0.056151599,1.348987818,1.609224200,1.201441646,1.268596411,-0.199094594,-0.183774978,0.031814396,0.517890155,-1.673706055,-0.506258011,1.388310432,0.006752800,-0.002839600,-0.036420200,0.000000000,0.000000000
0.029769398,0.122109801,0.159579799,0.151903600,-0.155277207,-0.085738003,0.035561398,-0.073519200,-0.282583207,0.121492207,-0.155225992,0.055253200,-0.056193601,1.348980188,1.609194517,1.201455116,1.268551230,-0.199090004,-0.183776617,0.031788800,0.517876625,-1.673541307,-0.506273389,1.388298512,0.006747400,-0.002833400,-0.036424197,0.000000000,0.000000000
0.030580999,0.122065999,0.160010993,0.150222003,-0.154502004,-0.086235002,0.035564002,-0.073475003,-0.282869011,0.121463999,-0.156173006,0.054033998,-0.056233000,1.348961949,1.609158993,1.201475978,1.268507957,-0.199094996,-0.183780998,0.031769000,0.517862022,-1.673375010,-0.506290019,1.388283014,0.006741000,-0.002827000,-0.036431000,0.000000000,0.000000000
0.030315202,0.122252800,0.159958392,0.150770202,-0.154887006,-0.086498395,0.035405200,-0.073439002,-0.282477200,0.121501610,-0.154943585,0.054736000,-0.056278601,1.348937750,1.609119415,1.201502562,1.268457174,-0.199105397,-0.183788002,0.031747200,0.517844439,-1.673191428,-0.506308973,1.388263941,0.006735200,-0.002818400,-0.036436800,0.000000000,0.000000000
0.030086402,0.122336999,0.159733012,0.151156411,-0.154892802,-0.086426996,0.035292599,-0.073397599,-0.282109797,0.121517807,-0.154298604,0.055324201,-0.056337997,1.348906755,1.609073758,1.201536298,1.268391609,-0.199122608,-0.183799982,0.031716600,0.517823637,-1.672963142,-0.506332994,1.388241053,0.006731200,-0.002807000,-0.036442399,0.000000000,0.000000000
0.030015802,0.122304402,0.159360409,0.151117802,-0.154311404,-0.085960403,0.035329398,-0.073278196,-0.282057405,0.121467397,-0.155321807,0.055076599,-0.056372002,1.348889470,1.609049082,1.201555610,1.268354774,-0.199130595,-0.183805615,0.031699397,0.517812252,-1.672835588,-0.506344855,1.388226628,0.006732200,-0.002801600,-0.036446601,0.000000000,0.000000000
