f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.444349,0.417965,0.081864,0.569411,-0.068460,-0.115502,0.071615,0.260579,-0.188700,0.117470,-0.183572,-0.124689,-0.088479,0.005899,0.123027,-0.447263,1.020324,0.162966,0.138229,-0.052867,0.098741,-0.155286,0.336864,1.065120,-0.025365,-0.055784,-0.129136,0.000000,0.000000
-0.443970,0.417774,0.081642,0.569568,-0.068651,-0.115473,0.072158,0.260540,-0.188847,0.117478,-0.183758,-0.124580,-0.088444,0.006304,0.122930,-0.446646,1.019859,0.162564,0.138248,-0.052671,0.098861,-0.155321,0.336804,1.064911,-0.025004,-0.055462,-0.129138,0.000000,0.000000
-0.443616,0.417489,0.081490,0.569608,-0.068883,-0.115271,0.072611,0.260373,-0.188983,0.117480,-0.183802,-0.124047,-0.088320,0.006866,0.122824,-0.445824,1.019230,0.162215,0.138554,-0.052904,0.099112,-0.155357,0.336550,1.064617,-0.024877,-0.055482,-0.128975,0.000000,0.000000
-0.443337,0.417267,0.081271,0.569628,-0.069076,-0.115172,0.072986,0.260305,-0.189133,0.117486,-0.184001,-0.124003,-0.088252,0.007385,0.122695,-0.444965,1.018799,0.162114,0.139091,-0.052632,0.099470,-0.155393,0.336218,1.064346,-0.024800,-0.055358,-0.128772,0.000000,0.000000
-0.443110,0.417083,0.081016,0.569631,-0.069252,-0.115182,0.073317,0.260291,-0.189340,0.117503,-0.184299,-0.124243,-0.088161,0.007744,0.122564,-0.444400,1.018670,0.162254,0.139448,-0.052154,0.099845,-0.155425,0.335943,1.064243,-0.024736,-0.054940,-0.128601,0.000000,0.000000
-0.442878,0.416864,0.080864,0.569615,-0.069497,-0.115349,0.073691,0.260198,-0.189705,0.117497,-0.184532,-0.124252,-0.088134,0.008098,0.122433,-0.443848,1.018597,0.162354,0.139574,-0.052217,0.100248,-0.155460,0.335658,1.064240,-0.024313,-0.054399,-0.128607,0.000000,0.000000
-0.442664,0.416584,0.080642,0.569628,-0.069721,-0.115487,0.074104,0.260069,-0.190201,0.117516,-0.184803,-0.124234,-0.088117,0.008427,0.122313,-0.443298,1.018510,0.162331,0.139375,-0.052325,0.100693,-0.155502,0.335443,1.064291,-0.023992,-0.054051,-0.128541,0.000000,0.000000
-0.442460,0.416233,0.080293,0.569654,-0.069876,-0.115521,0.074581,0.259913,-0.190814,0.117520,-0.185106,-0.124238,-0.088065,0.008608,0.122159,-0.442823,1.018423,0.162163,0.138718,-0.052304,0.101141,-0.155576,0.335372,1.064371,-0.024000,-0.054017,-0.128299,0.000000,0.000000
-0.442216,0.415837,0.079924,0.569623,-0.070027,-0.115633,0.074993,0.259737,-0.191312,0.117535,-0.185360,-0.124382,-0.088027,0.008784,0.121982,-0.442295,1.018450,0.162027,0.138743,-0.052518,0.101679,-0.155688,0.335358,1.064488,-0.024020,-0.054013,-0.128278,0.000000,0.000000
-0.441971,0.415451,0.079554,0.569622,-0.070202,-0.115764,0.075392,0.259566,-0.191750,0.117542,-0.185583,-0.124550,-0.087972,0.008931,0.121786,-0.441752,1.018489,0.161843,0.139197,-0.052753,0.102199,-0.155834,0.335335,1.064670,-0.024013,-0.054008,-0.128359,0.000000,0.000000
-0.441870,0.415225,0.079223,0.569955,-0.070496,-0.115776,0.075859,0.259444,-0.192329,0.117540,-0.185792,-0.124423,-0.087824,0.009027,0.121708,-0.441544,1.018313,0.161436,0.139337,-0.052381,0.102529,-0.155895,0.335319,1.064985,-0.023946,-0.053846,-0.128201,0.000000,0.000000
-0.441819,0.415033,0.078901,0.570342,-0.070812,-0.115664,0.076288,0.259402,-0.192688,0.117536,-0.186017,-0.124330,-0.087739,0.009209,0.121527,-0.441086,1.018059,0.160921,0.139638,-0.052036,0.102915,-0.156050,0.335326,1.065190,-0.023871,-0.053662,-0.128132,0.000000,0.000000
-0.441781,0.414832,0.078598,0.570652,-0.071098,-0.115417,0.076612,0.259448,-0.192683,0.117562,-0.186277,-0.124385,-0.087540,0.009390,0.121402,-0.440747,1.017839,0.160487,0.139834,-0.052006,0.103291,-0.156158,0.335309,1.065364,-0.023862,-0.053376,-0.128294,0.000000,0.000000
-0.441685,0.414596,0.078350,0.570881,-0.071315,-0.115526,0.076974,0.259328,-0.192990,0.117554,-0.186452,-0.124151,-0.087370,0.009553,0.121240,-0.440407,1.017692,0.160476,0.140112,-0.052054,0.103577,-0.156290,0.335317,1.065544,-0.023895,-0.053656,-0.128387,0.000000,0.000000
